Tahun,Bulan,Provinsi,Konsumsi Listrik Rumah Tangga (GWh),Konsumsi Listrik per Kapita (kWh)
2010,1,Provinsi_1,324.84,1186.17
2010,1,Provinsi_2,332.38,1352.3
2010,1,Provinsi_3,288.29,1176.59
2010,1,Provinsi_4,378.96,1276.74
2010,1,Provinsi_5,276.53,1254.26
2010,1,Provinsi_6,276.83,1153.43
2010,1,Provinsi_7,312.1,1008.67
2010,1,Provinsi_8,213.75,1143.77
2010,1,Provinsi_9,249.36,1231.42
2010,1,Provinsi_10,254.6,1058.77
2010,1,Provinsi_11,373.28,1177.42
2010,1,Provinsi_12,303.38,1057.53
2010,1,Provinsi_13,272.78,1211.09
2010,1,Provinsi_14,242.45,1237.57
2010,1,Provinsi_15,269.97,1170.83
2010,1,Provinsi_16,269.91,1385.23
2010,1,Provinsi_17,299.33,1094.23
2010,1,Provinsi_18,341.13,1077.92
2010,1,Provinsi_19,310.44,1004.03
2010,1,Provinsi_20,233.59,1219.69
2010,1,Provinsi_21,336.92,1217.14
2010,1,Provinsi_22,294.22,1169.89
2010,1,Provinsi_23,226.07,1128.02
2010,1,Provinsi_24,276.97,1305.71
2010,1,Provinsi_25,317.18,1023.7
2010,1,Provinsi_26,316.2,1161.49
2010,1,Provinsi_27,266.15,1261.17
2010,1,Provinsi_28,351.55,1293.13
2010,1,Provinsi_29,258.04,1169.08
2010,1,Provinsi_30,316.56,1297.55
2010,1,Provinsi_31,276.04,1181.43
2010,1,Provinsi_32,244.68,1080.38
2010,1,Provinsi_33,340.63,1335.62
2010,1,Provinsi_34,296.4,1300.35
2010,2,Provinsi_1,318.08,1135.49
2010,2,Provinsi_2,318.07,1353.8
2010,2,Provinsi_3,298.21,1356.46
2010,2,Provinsi_4,169.01,1282.19
2010,2,Provinsi_5,304.35,1170.1
2010,2,Provinsi_6,304.59,1001.24
2010,2,Provinsi_7,289.02,1235.71
2010,2,Provinsi_8,373.89,1148.17
2010,2,Provinsi_9,259.58,1149.82
2010,2,Provinsi_10,345.77,1232.88
2010,2,Provinsi_11,273.51,1251.33
2010,2,Provinsi_12,304.85,1296.86
2010,2,Provinsi_13,264.9,1167.23
2010,2,Provinsi_14,280.39,1053.65
2010,2,Provinsi_15,314.81,1226.11
2010,2,Provinsi_16,300.26,1176.54
2010,2,Provinsi_17,229.23,1157.94
2010,2,Provinsi_18,282.86,1119.77
2010,2,Provinsi_19,291.94,1240.41
2010,2,Provinsi_20,394.31,1217.46
2010,2,Provinsi_21,312.88,1192.56
2010,2,Provinsi_22,204.06,1197.35
2010,2,Provinsi_23,303.01,1446.32
2010,2,Provinsi_24,290.38,1230.15
2010,2,Provinsi_25,298.26,1083.13
2010,2,Provinsi_26,357.14,1275.19
2010,2,Provinsi_27,339.55,1109.06
